symptom,pref_label,meddra_code,soc
Diarrhoea haemorrhagic,Diarrhoea haemorrhagic,10012741,Vascular disorders
Synovitis,Synovitis,10042868,Musculoskeletal and connective tissue disorders
Perfume sensitivity,Perfume sensitivity,10034434,Immune system disorders
Reflux laryngitis,Reflux laryngitis,10067869,"Respiratory, thoracic and mediastinal disorders"
Endoscopy,Endoscopy,10014805,Investigations
Foaming at mouth,Foaming at mouth,10062654,General disorders and administration site conditions
Throat tightness,Throat tightness,10043528,"Respiratory, thoracic and mediastinal disorders"
Biopsy lymph gland,Biopsy lymph gland,10004797,Investigations
Intervertebral disc protrusion,Intervertebral disc protrusion,10050296,Musculoskeletal and connective tissue disorders
Tooth disorder,Tooth disorder,10044034,Gastrointestinal disorders
Focal dyscognitive seizures,Focal dyscognitive seizures,10079424,Nervous system disorders
Neck pain,Neck pain,10028836,Musculoskeletal and connective tissue disorders
Hot flush,Hot flush,10060800,General disorders and administration site conditions
CSF white blood cell count,CSF white blood cell count,10061098,Investigations
Myopericarditis,Myopericarditis,10028650,Cardiac disorders
Central venous catheterisation,Central venous catheterisation,10053377,Surgical and medical procedures
Coagulation factor IX level,Coagulation factor IX level,10009744,Investigations
Metamorphopsia,Metamorphopsia,10063341,Eye disorders
Ulcer,Ulcer,10045285,General disorders and administration site conditions
Corrective lens user,Corrective lens user,10050858,Social circumstances
Nephropathy,Nephropathy,10029151,Renal and urinary disorders
Inflammatory bowel disease,Inflammatory bowel disease,10021972,Gastrointestinal disorders
Hypertensive crisis,Hypertensive crisis,10020802,Vascular disorders
Toe walking,Toe walking,10068872,Musculoskeletal and connective tissue disorders
Blood glucose decreased,Blood glucose decreased,10005555,Investigations
Scan myocardial perfusion,Scan myocardial perfusion,10054082,Investigations
Myelitis transverse,Myelitis transverse,10028527,Nervous system disorders
Arthritis reactive,Arthritis reactive,10003267,Infections and infestations
Basilar artery occlusion,Basilar artery occlusion,10048963,Nervous system disorders
Dementia Alzheimer's type,Dementia Alzheimer's type,10012271,Nervous system disorders
Thyroxine normal,Thyroxine normal,10043820,Investigations
Genetic testing,Genetic testing,10092046,Investigations
Macule,Macule,10025421,Skin and subcutaneous tissue disorders
Intra-abdominal fluid collection,Intra-abdominal fluid collection,10078659,Reproductive system and breast disorders
Cardiac disorder,Cardiac disorder,10061024,Cardiac disorders
Paraesthesia oral,Paraesthesia oral,10057372,Gastrointestinal disorders
Labour induction,Labour induction,10052856,Surgical and medical procedures
Head impulse test,Head impulse test,10086191,Investigations
Mental disorder,Mental disorder,10061284,Psychiatric disorders
Stool analysis,Stool analysis,10059536,Investigations
Liver disorder,Liver disorder,10024670,Hepatobiliary disorders
Arteriospasm coronary,Arteriospasm coronary,10003225,Vascular disorders
Reaction to previous exposure to any vaccine,Reaction to previous exposure to any vaccine,10066904,"Injury, poisoning and procedural complications"
SARS-CoV-2 test negative,SARS-CoV-2 test negative,10084273,Investigations
Lip swelling,Lip swelling,10024570,Immune system disorders
Hypervolaemia,Hypervolaemia,10020919,Cardiac disorders
Choking,Choking,10008589,"Respiratory, thoracic and mediastinal disorders"
Sphincter of Oddi dysfunction,Sphincter of Oddi dysfunction,10066424,Gastrointestinal disorders
Scan with contrast abnormal,Scan with contrast abnormal,10062152,Investigations
Cogwheel rigidity,Cogwheel rigidity,10009848,Musculoskeletal and connective tissue disorders
CD3 lymphocytes,,,Unmapped
Hernia pain,Hernia pain,10049077,General disorders and administration site conditions
Lipoma excision,Lipoma excision,10024614,Surgical and medical procedures
Barium enema abnormal,Barium enema abnormal,10004116,Investigations
Tri-iodothyronine abnormal,Tri-iodothyronine abnormal,10044592,Investigations
Computerised tomogram thorax normal,Computerised tomogram thorax normal,10057801,Investigations
Poor quality sleep,Poor quality sleep,10062519,Nervous system disorders
Incorrect route of product administration,Incorrect route of product administration,10081202,"Injury, poisoning and procedural complications"
Kaposi's sarcoma,Kaposi's sarcoma,10023284,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Dermatitis contact,Dermatitis contact,10012442,Immune system disorders
Aspartate aminotransferase increased,Aspartate aminotransferase increased,10003481,Investigations
Epstein-Barr virus antibody,Epstein-Barr virus antibody,10053817,Investigations
Urine ketone body absent,Urine ketone body absent,10057596,Investigations
Myocardial fibrosis,Myocardial fibrosis,10028594,Cardiac disorders
Ear canal erythema,Ear canal erythema,10052135,Ear and labyrinth disorders
Blister rupture,Blister rupture,10073385,"Injury, poisoning and procedural complications"
CSF white blood cell count negative,CSF white blood cell count negative,10061099,Investigations
Oestradiol,Oestradiol,10030227,Investigations
Immediate post-injection reaction,Immediate post-injection reaction,10067142,General disorders and administration site conditions
Cancer surgery,Cancer surgery,10074431,Surgical and medical procedures
Angiogram retina,Angiogram retina,10002443,Investigations
Joint noise,Joint noise,10074329,Musculoskeletal and connective tissue disorders
Ventilation/perfusion scan,Ventilation/perfusion scan,10047264,Investigations
Abdominal mass,Abdominal mass,10000077,Gastrointestinal disorders
Corneal oedema,Corneal oedema,10011033,Eye disorders
Paranoia,Paranoia,10033864,Psychiatric disorders
Pupil fixed,Pupil fixed,10037515,Eye disorders
Red blood cells urine positive,Red blood cells urine positive,10038182,Investigations
Adverse reaction,Adverse reaction,10067484,General disorders and administration site conditions
Hypofibrinogenaemia,Hypofibrinogenaemia,10051125,Blood and lymphatic system disorders
Urinary tract infection,Urinary tract infection,10046571,Infections and infestations
Oedema peripheral,Oedema peripheral,10030124,Metabolism and nutrition disorders
Cold sweat,Cold sweat,10009866,Skin and subcutaneous tissue disorders
Distractibility,Distractibility,10013486,Psychiatric disorders
Immunology test normal,Immunology test normal,10062502,Investigations
Lung opacity,Lung opacity,10081792,"Respiratory, thoracic and mediastinal disorders"
Apnoea,Apnoea,10002974,"Respiratory, thoracic and mediastinal disorders"
Vascular stent thrombosis,Vascular stent thrombosis,10063934,General disorders and administration site conditions
Respiratory rate increased,Respiratory rate increased,10038712,Investigations
Influenza A virus test,Influenza A virus test,10070416,Investigations
Slow speech,Slow speech,10071299,Nervous system disorders
Escherichia test positive,Escherichia test positive,10070090,Investigations
Blood testosterone decreased,Blood testosterone decreased,10005814,Investigations
Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,10009033,"Respiratory, thoracic and mediastinal disorders"
Vestibular neuronitis,Vestibular neuronitis,10047393,Ear and labyrinth disorders
Otorrhoea,Otorrhoea,10033101,Ear and labyrinth disorders
Borrelia test negative,Borrelia test negative,10070280,Investigations
Renal atrophy,Renal atrophy,10038381,Renal and urinary disorders
Testicular oedema,Testicular oedema,10066769,Reproductive system and breast disorders
Lipase increased,Lipase increased,10024574,Investigations
Generalised tonic-clonic seizure,Generalised tonic-clonic seizure,10018100,Nervous system disorders
Influenza A virus test positive,Influenza A virus test positive,10070215,Investigations
Abnormal sensation in eye,Abnormal sensation in eye,10000173,Eye disorders
Respiratory failure,Respiratory failure,10038695,"Respiratory, thoracic and mediastinal disorders"
Seizure cluster,Seizure cluster,10071350,Nervous system disorders
Coagulopathy,Coagulopathy,10009802,Blood and lymphatic system disorders
Aspartate aminotransferase normal,Aspartate aminotransferase normal,10003482,Investigations
Blepharospasm,Blepharospasm,10005159,Eye disorders
Chronic active Epstein-Barr virus infection,Chronic active Epstein-Barr virus infection,10082848,Infections and infestations
Deafness,Deafness,10011878,Ear and labyrinth disorders
Cardiovascular disorder,Cardiovascular disorder,10007649,Cardiac disorders
Hypoacusis,Hypoacusis,10048865,Ear and labyrinth disorders
Blood osmolarity,Blood osmolarity,10005693,Investigations
Sudden death,Sudden death,10042434,General disorders and administration site conditions
Inflammatory marker test,Inflammatory marker test,10074736,Investigations
Ligament rupture,Ligament rupture,10065433,Musculoskeletal and connective tissue disorders
Mydriasis,Mydriasis,10028521,Eye disorders
Blood chloride increased,Blood chloride increased,10005420,Investigations
Cyanosis,Cyanosis,10011703,"Respiratory, thoracic and mediastinal disorders"
Sensory disturbance,Sensory disturbance,10040026,Nervous system disorders
Aggression,Aggression,10001488,Psychiatric disorders
DNA mismatch repair protein gene mutation,DNA mismatch repair protein gene mutation,10078672,"Congenital, familial and genetic disorders"
Sleep terror,Sleep terror,10041010,Nervous system disorders
Completed suicide,Completed suicide,10010144,General disorders and administration site conditions
Tricuspid valve incompetence,Tricuspid valve incompetence,10044640,Cardiac disorders
Major depression,Major depression,10057840,Psychiatric disorders
Electroencephalogram abnormal,Electroencephalogram abnormal,10014408,Investigations
Heart valve operation,Heart valve operation,10061994,Surgical and medical procedures
CSF white blood cell count increased,CSF white blood cell count increased,10053805,Investigations
Tendonitis,Tendonitis,10043255,Musculoskeletal and connective tissue disorders
Hydrocele,Hydrocele,10020488,"Congenital, familial and genetic disorders"
Sneezing,Sneezing,10041232,"Respiratory, thoracic and mediastinal disorders"
Cutaneous T-cell lymphoma stage I,Cutaneous T-cell lymphoma stage I,10011680,Skin and subcutaneous tissue disorders
Culture urine negative,Culture urine negative,10011639,Investigations
Vomiting,Vomiting,10047700,Gastrointestinal disorders
Blood urea increased,Blood urea increased,10005851,Investigations
Red cell distribution width,Red cell distribution width,10051168,Investigations
Troponin increased,Troponin increased,10058267,Investigations
Glucose urine absent,Glucose urine absent,10018474,Investigations
Blindness transient,Blindness transient,10005184,Eye disorders
Gait inability,Gait inability,10017581,Nervous system disorders
Spinal disorder,Spinal disorder,10061368,Musculoskeletal and connective tissue disorders
Restlessness,Restlessness,10038743,Nervous system disorders
Ultrasound pelvis,Ultrasound pelvis,10052041,Investigations
Brain scan normal,Brain scan normal,10061944,Investigations
Injection site haemorrhage,Injection site haemorrhage,10022067,Vascular disorders
Varicella virus test,Varicella virus test,10070444,Investigations
Weight abnormal,Weight abnormal,10056814,Investigations
Oesophageal manometry,Oesophageal manometry,10050703,Investigations
Respiratory tract congestion,Respiratory tract congestion,10052251,"Respiratory, thoracic and mediastinal disorders"
Stomatitis,Stomatitis,10042128,Gastrointestinal disorders
Thyroxine free normal,Thyroxine free normal,10055159,Investigations
Optic disc oedema,,,Unmapped
Brief resolved unexplained event,Brief resolved unexplained event,10086181,"Pregnancy, puerperium and perinatal conditions"
Myoclonus,Myoclonus,10028622,Nervous system disorders
Pleural effusion,Pleural effusion,10035598,"Respiratory, thoracic and mediastinal disorders"
Inguinal hernia,Inguinal hernia,10022016,Gastrointestinal disorders
Human papilloma virus test positive,Human papilloma virus test positive,10064328,Investigations
Thermal burn,Thermal burn,10053615,"Injury, poisoning and procedural complications"
Chills,Chills,10008531,Musculoskeletal and connective tissue disorders
Staphylococcal scalded skin syndrome,Staphylococcal scalded skin syndrome,10041929,Infections and infestations
Antineutrophil cytoplasmic antibody negative,Antineutrophil cytoplasmic antibody negative,10060137,Investigations
Lymphoedema,Lymphoedema,10025282,Blood and lymphatic system disorders
Immunodeficiency,Immunodeficiency,10061598,Immune system disorders
Neutrophil count,Neutrophil count,10029363,Investigations
Herpes zoster meningoencephalitis,Herpes zoster meningoencephalitis,10074248,Infections and infestations
Rash pustular,Rash pustular,10037888,Infections and infestations
Suicidal ideation,Suicidal ideation,10042458,Psychiatric disorders
Mechanical urticaria,Mechanical urticaria,10068773,Skin and subcutaneous tissue disorders
Orthosis user,Orthosis user,10066194,Social circumstances
Maternal exposure before pregnancy,Maternal exposure before pregnancy,10071406,"Injury, poisoning and procedural complications"
Organ transplant,Organ transplant,10061890,Surgical and medical procedures
Graves' disease,Graves' disease,10018706,Immune system disorders
Lethargy,Lethargy,10024264,General disorders and administration site conditions
Optic ischaemic neuropathy,Optic ischaemic neuropathy,10030924,Vascular disorders
Paraesthesia,Paraesthesia,10033775,Nervous system disorders
Bilirubin urine,Bilirubin urine,10053113,Investigations
Ultrasound scan abnormal,Ultrasound scan abnormal,10061606,Investigations
Noninfective encephalitis,Noninfective encephalitis,10074712,Nervous system disorders
Cognitive test,Cognitive test,10083267,Investigations
Localised oedema,Localised oedema,10048961,Metabolism and nutrition disorders
Haemoptysis,Haemoptysis,10018964,"Respiratory, thoracic and mediastinal disorders"
Blood immunoglobulin E normal,Blood immunoglobulin E normal,10005592,Investigations
Tenderness,Tenderness,10043224,General disorders and administration site conditions
Metabolic function test normal,Metabolic function test normal,10062192,Investigations
Lumbar puncture normal,Lumbar puncture normal,10025002,Investigations
Partial seizures,Partial seizures,10061334,Nervous system disorders
Ear swelling,Ear swelling,10014025,Ear and labyrinth disorders
Hemiplegia,Hemiplegia,10019468,Nervous system disorders
Infantile apnoea,Infantile apnoea,10077321,"Respiratory, thoracic and mediastinal disorders"
Telangiectasia,Telangiectasia,10043189,Vascular disorders
Metastases to liver,Metastases to liver,10027457,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
CSF glucose,CSF glucose,10011535,Investigations
Vestibular function test abnormal,Vestibular function test abnormal,10047390,Investigations
Mastectomy,Mastectomy,10026878,Surgical and medical procedures
Light chain analysis,Light chain analysis,10060083,Investigations
Muscle strength abnormal,Muscle strength abnormal,10082799,Investigations
Flow cytometry,Flow cytometry,10065440,Investigations
Rheumatoid factor increased,Rheumatoid factor increased,10057962,Investigations
Pneumatosis,Pneumatosis,10051986,General disorders and administration site conditions
Ultrasound Doppler normal,Ultrasound Doppler normal,10045414,Investigations
Loss of bladder sensation,Loss of bladder sensation,10070632,Nervous system disorders
Blood urine absent,,,API_Error
Pneumothorax spontaneous,,,API_Error
Gottron's papules,,,API_Error
Influenza,,,API_Error
Bowel movement irregularity,,,API_Error
Anxiety,,,API_Error
Respiratory tract infection,,,API_Error
Bronchial hyperreactivity,,,API_Error
Hepatitis B virus test positive,,,API_Error
Mammogram,Mammogram,10026735,Investigations
Neurosarcoidosis,Neurosarcoidosis,10078011,Immune system disorders
Pulmonary pain,Pulmonary pain,10074693,"Respiratory, thoracic and mediastinal disorders"
Skin texture abnormal,Skin texture abnormal,10075267,Skin and subcutaneous tissue disorders
Dementia,Dementia,10012267,Nervous system disorders
Mastocytosis,Mastocytosis,10026891,Blood and lymphatic system disorders
Dysgeusia,Dysgeusia,10013911,Gastrointestinal disorders
Intracranial arterial fenestration,Intracranial arterial fenestration,10077285,"Congenital, familial and genetic disorders"
Lupus vulgaris,Lupus vulgaris,10025143,Skin and subcutaneous tissue disorders
Abnormal organ growth,Abnormal organ growth,10079750,"Pregnancy, puerperium and perinatal conditions"
Pain of skin,Pain of skin,10033474,Skin and subcutaneous tissue disorders
Injection site indentation,Injection site indentation,10079277,Skin and subcutaneous tissue disorders
Prostatic specific antigen increased,,,API_Error
Carotid artery stenosis,Carotid artery stenosis,10007687,Nervous system disorders
Portoenterostomy,Portoenterostomy,10036207,Surgical and medical procedures
Fibrin D dimer,Fibrin D dimer,10016577,Unknown
CSF red blood cell count positive,CSF red blood cell count positive,10075562,Investigations
Product label confusion,Product label confusion,10069273,"Injury, poisoning and procedural complications"
Mouth ulceration,Mouth ulceration,10028034,Gastrointestinal disorders
Screaming,Screaming,10039740,Psychiatric disorders
Painful respiration,Painful respiration,10033517,"Respiratory, thoracic and mediastinal disorders"
Inappropriate schedule of product administration,Inappropriate schedule of product administration,10081572,"Injury, poisoning and procedural complications"
Idiopathic urticaria,Idiopathic urticaria,10021247,Skin and subcutaneous tissue disorders
Blood iron,Blood iron,10005616,Investigations
Hypotonic-hyporesponsive episode,Hypotonic-hyporesponsive episode,10021121,"Injury, poisoning and procedural complications"
Glomerular filtration rate,Glomerular filtration rate,10018355,Investigations
Rheumatoid factor negative,Rheumatoid factor negative,10048574,Investigations
Hallucination,Hallucination,10019063,Psychiatric disorders
Skin discolouration,Skin discolouration,10040829,Skin and subcutaneous tissue disorders
Oedema,Oedema,10030095,General disorders and administration site conditions
Gene mutation,Gene mutation,10064571,"Congenital, familial and genetic disorders"
Sinus headache,Sinus headache,10040744,"Respiratory, thoracic and mediastinal disorders"
Infection susceptibility increased,Infection susceptibility increased,10021866,Immune system disorders
Cardiac valve disease,Cardiac valve disease,10061406,Cardiac disorders
Oxygen saturation,Oxygen saturation,10033316,Investigations
Injury associated with device,Injury associated with device,10069803,General disorders and administration site conditions
Poor feeding infant,Poor feeding infant,10075316,"Pregnancy, puerperium and perinatal conditions"
Allergy to animal,Allergy to animal,10001742,Immune system disorders
Anti factor VIII antibody test,Anti factor VIII antibody test,10068229,Investigations
Respiratory syncytial virus test,Respiratory syncytial virus test,10068562,Investigations
Seborrhoea,Seborrhoea,10039792,Skin and subcutaneous tissue disorders
Fine motor skill dysfunction,Fine motor skill dysfunction,10076288,Nervous system disorders
Glycosylated haemoglobin,Glycosylated haemoglobin,10018480,Investigations
Blood albumin decreased,Blood albumin decreased,10005287,Investigations
Ultrasound scan,Ultrasound scan,10045434,Investigations
Laboratory test,Laboratory test,10059938,Investigations
Laryngospasm,Laryngospasm,10023891,"Respiratory, thoracic and mediastinal disorders"
Rhinorrhoea,Rhinorrhoea,10039101,"Respiratory, thoracic and mediastinal disorders"
Cancer with a high tumour mutational burden,Cancer with a high tumour mutational burden,10085091,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Oral infection,Oral infection,10048685,Gastrointestinal disorders
Blood glucose normal,Blood glucose normal,10005558,Investigations
Pustule,Pustule,10037578,Infections and infestations
Lung hyperinflation,Lung hyperinflation,10059487,"Respiratory, thoracic and mediastinal disorders"
Body temperature abnormal,Body temperature abnormal,10075265,Investigations
Spinal pain,Spinal pain,10072005,Musculoskeletal and connective tissue disorders
Injected limb mobility decreased,Injected limb mobility decreased,10057664,"Injury, poisoning and procedural complications"
Myopic chorioretinal degeneration,Myopic chorioretinal degeneration,10079959,Eye disorders
Recurrent cancer,Recurrent cancer,10038111,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Ultrasound scan normal,Ultrasound scan normal,10061607,Investigations
Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic inflammatory demyelinating polyradiculoneuropathy,10057645,Nervous system disorders
Product storage error,Product storage error,10079843,"Injury, poisoning and procedural complications"
Abdominal pain,Abdominal pain,10000081,Gastrointestinal disorders
Product use issue,Product use issue,10076309,"Injury, poisoning and procedural complications"
Foetal non-stress test abnormal,Foetal non-stress test abnormal,10071516,Investigations
Mononucleosis heterophile test negative,Mononucleosis heterophile test negative,10027921,Investigations
Polymyalgia rheumatica,Polymyalgia rheumatica,10036099,Musculoskeletal and connective tissue disorders
Purpura,Purpura,10037549,Skin and subcutaneous tissue disorders
Blood test,Blood test,10061726,Investigations
Sjogren's syndrome,Sjogren's syndrome,10040767,Immune system disorders
Guillain-Barre syndrome,Guillain-Barre syndrome,10018767,Infections and infestations
Vascular test,Vascular test,10062172,Investigations
Paroxysmal dyskinesia,,,Unmapped
Body temperature,Body temperature,10005906,Investigations
Infection,Infection,10021789,Infections and infestations
Blood magnesium,Blood magnesium,10005651,Investigations
Antinuclear antibody negative,Antinuclear antibody negative,10002809,Investigations
Productive cough,Productive cough,10036790,"Respiratory, thoracic and mediastinal disorders"
Scalloped tongue,Scalloped tongue,10074686,Gastrointestinal disorders
Body temperature fluctuation,Body temperature fluctuation,10063488,Investigations
Ejection fraction,Ejection fraction,10050527,Investigations
Echolalia,Echolalia,10014127,Nervous system disorders
Cytomegalovirus test positive,Cytomegalovirus test positive,10051620,Investigations
Abdominal distension,Abdominal distension,10000060,Gastrointestinal disorders
Coma,Coma,10010071,Nervous system disorders
Enterovirus test negative,Enterovirus test negative,10070397,Investigations
Hemiparesis,Hemiparesis,10019465,Nervous system disorders
Glossodynia,Glossodynia,10018388,Gastrointestinal disorders
Atrial septal defect,Atrial septal defect,10003664,Cardiac disorders
Pulmonary resection,Pulmonary resection,10077488,Surgical and medical procedures
Anion gap,Anion gap,10002522,Investigations
Human chorionic gonadotropin negative,Human chorionic gonadotropin negative,10071333,Investigations
Oropharyngeal erythema,,,Unmapped
Product administered at inappropriate site,Product administered at inappropriate site,10080753,"Injury, poisoning and procedural complications"
Creatine kinase increased,Creatine kinase increased,10011336,Unknown
Drooling,Drooling,10013642,Nervous system disorders
IL-2 receptor assay,IL-2 receptor assay,10071599,Investigations
Brain stem thrombosis,Brain stem thrombosis,10062573,Vascular disorders
Eosinophil count,Eosinophil count,10014941,Investigations
Blindness,Blindness,10005169,Eye disorders
Peripheral vascular disorder,Peripheral vascular disorder,10034636,Vascular disorders
Thrombin time,Thrombin time,10043539,Investigations
Mycoplasma test,Mycoplasma test,10070411,Investigations
Resuscitation,Resuscitation,10038749,Surgical and medical procedures
Biopsy,Biopsy,10004720,Investigations
Arteriovenous fistula,Arteriovenous fistula,10003226,Vascular disorders
Evans syndrome,Evans syndrome,10053873,Blood and lymphatic system disorders
Axillary mass,Axillary mass,10049021,Musculoskeletal and connective tissue disorders
Cryptococcus test,Cryptococcus test,10070456,Investigations
Blood chloride,Blood chloride,10005416,Investigations
Immunoglobulin therapy,Immunoglobulin therapy,10069534,Surgical and medical procedures
Neurological symptom,Neurological symptom,10060860,Nervous system disorders
Device colour issue,Device colour issue,10069873,Product issues
Postural orthostatic tachycardia syndrome,Postural orthostatic tachycardia syndrome,10063080,Nervous system disorders
Infarction,Infarction,10061216,Vascular disorders
VIth nerve disorder,VIth nerve disorder,10053646,Eye disorders
Oral allergy syndrome,Oral allergy syndrome,10068355,Immune system disorders
Craniocerebral injury,Craniocerebral injury,10070976,Nervous system disorders
Vasogenic cerebral oedema,Vasogenic cerebral oedema,10067275,Nervous system disorders
Antiacetylcholine receptor antibody positive,Antiacetylcholine receptor antibody positive,10049144,Investigations
Serology test,Serology test,10062163,Investigations
Brain injury,Brain injury,10067967,Nervous system disorders
Post cholecystectomy syndrome,Post cholecystectomy syndrome,10057229,Gastrointestinal disorders
Nightmare,Nightmare,10029412,Nervous system disorders
Inner ear inflammation,Inner ear inflammation,10066966,Ear and labyrinth disorders
Blood potassium normal,Blood potassium normal,10005726,Investigations
Red cell distribution width increased,Red cell distribution width increased,10053920,Investigations
Respiratory viral panel,Respiratory viral panel,10075165,Investigations
Rectal tenesmus,Rectal tenesmus,10057071,Musculoskeletal and connective tissue disorders
Angioedema,Angioedema,10002424,Immune system disorders
Pregnancy test,Pregnancy test,10036572,Investigations
Immunoglobulins normal,Immunoglobulins normal,10021501,Investigations
Bradycardia,Bradycardia,10006093,Cardiac disorders
Initial insomnia,Initial insomnia,10022035,Nervous system disorders
Cardio-respiratory distress,Cardio-respiratory distress,10049874,"Respiratory, thoracic and mediastinal disorders"
Physical product label issue,Physical product label issue,10069272,Product issues
Metabolic function test,Metabolic function test,10062191,Investigations
Limb ultrasound,Limb ultrasound,10091900,Investigations
Basal cell carcinoma,Basal cell carcinoma,10004146,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Bandaemia,Bandaemia,10072081,Blood and lymphatic system disorders
Muscle fatigue,Muscle fatigue,10049565,Musculoskeletal and connective tissue disorders
White matter lesion,White matter lesion,10072731,Nervous system disorders
C-reactive protein normal,C-reactive protein normal,10006826,Investigations
Blood bilirubin increased,Blood bilirubin increased,10005364,Investigations
Tumour excision,Tumour excision,10061392,Surgical and medical procedures
Oral mucosal erythema,Oral mucosal erythema,10067418,Gastrointestinal disorders
Complement factor C3 decreased,Complement factor C3 decreased,10050981,Investigations
Cell marker,Cell marker,10064496,Investigations
Bone graft,Bone graft,10005971,Surgical and medical procedures
Movement disorder,Movement disorder,10028035,Nervous system disorders
Biopsy kidney abnormal,Biopsy kidney abnormal,10004783,Investigations
Vaccination site haematoma,Vaccination site haematoma,10069472,Vascular disorders
Human epidermal growth factor receptor test,Human epidermal growth factor receptor test,10088659,Investigations
Mini mental status examination normal,Mini mental status examination normal,10065425,Investigations
Neck injury,Neck injury,10062211,"Injury, poisoning and procedural complications"
Anti-ganglioside antibody negative,Anti-ganglioside antibody negative,10072515,Investigations
Perfusion brain scan,Perfusion brain scan,10079705,Investigations
Facial discomfort,Facial discomfort,10083537,General disorders and administration site conditions
Coagulation factor XI level,Coagulation factor XI level,10009777,Investigations
Ultrasound abdomen,Ultrasound abdomen,10052038,Investigations
Haemorrhage urinary tract,Haemorrhage urinary tract,10055847,Vascular disorders
Disseminated varicella zoster virus infection,Disseminated varicella zoster virus infection,10084396,Skin and subcutaneous tissue disorders
Toothache,Toothache,10044055,Gastrointestinal disorders
Primary biliary cholangitis,Primary biliary cholangitis,10080429,Hepatobiliary disorders
Anaplastic thyroid cancer,Anaplastic thyroid cancer,10002240,Endocrine disorders
Head banging,Head banging,10019191,Psychiatric disorders
Breast hyperplasia,Breast hyperplasia,10006256,Reproductive system and breast disorders
Nail disorder,Nail disorder,10028694,Skin and subcutaneous tissue disorders
Loss of personal independence in daily activities,Loss of personal independence in daily activities,10079487,Social circumstances
Tissue transglutaminase IgA antibody test,,,Unmapped
